 28-14606-04        Tebo-ICT,  license #BoJie
R71           4.7330    6.4710  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R72           0.6863    7.7281   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R73           4.8050    6.4900  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R74           3.9050    7.2700  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R77           6.7500    6.7950    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R78           6.9300    6.5550   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R79           1.1963    7.4231    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R80           6.8000    6.5900   90.0  AA   (B)  'R1206-S0_B', 'R1206-S0_B'
R81           6.7050    6.5900   90.0  AA   (B)  'R1206-S0_B', 'R1206-S0_B'
R82           4.2380    7.3350    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R83           4.9000    7.5962  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R84           4.9000    7.6462  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R85           5.0050    7.5906  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R86           5.0600    7.9700    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R87           9.9817    8.0988  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R88           4.9100    8.1412   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R92          10.0850    8.0550    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R93           4.3113    7.2931  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R95          10.2836    6.6827  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R97           4.9000    7.5562  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R98           4.9120    7.7020   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R99           4.9330    7.7550    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R100          3.9170    7.1560  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R101          4.5256    7.6435  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R102          4.5256    7.6795  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R103          4.7470    6.7500   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R104          7.4050    7.0250  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R105          1.1519    6.6700    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R106          9.9776    7.9934  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R107          1.1334    6.6044  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R108          1.1519    6.6704    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R109          0.9646    6.3065  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R110          3.6480    6.9200  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R111          0.8363    7.7281  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R112          3.6980    6.9200  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R113         11.3119    7.7813    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R114          3.7380    6.9200  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R115         -0.2337   -1.4069    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
