 28-14606-04        Tebo-ICT,  license #BoJie

 Board Outline Contour             INCH units               24-June-2021 16:16

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    8.960      -2.390       0.000
    8.969      -2.396       0.000
    8.978      -2.400       0.000
    8.988      -2.402       0.000
    9.307      -2.402       0.000
    9.317      -2.400       0.000
    9.327      -2.396       0.000
    9.335      -2.390       0.000
    9.341      -2.382       0.000
    9.345      -2.372       0.000
    9.346      -2.362       0.000
    9.346      -1.850       0.000
    9.348      -1.840       0.000
    9.352      -1.831       0.000
    9.358      -1.823       0.000
    9.366      -1.816       0.000
    9.376      -1.812       0.000
    9.386      -1.811       0.000
    9.917      -1.811       0.000
    9.928      -1.812       0.000
    9.937      -1.816       0.000
    9.945      -1.823       0.000
    9.951      -1.831       0.000
    9.955      -1.840       0.000
    9.957      -1.850       0.000
    9.957      -2.362       0.000
    9.958      -2.372       0.000
    9.962      -2.382       0.000
    9.968      -2.390       0.000
    9.976      -2.396       0.000
    9.986      -2.400       0.000
    9.996      -2.402       0.000
   10.197      -2.402       0.000
   10.207      -2.400       0.000
   10.217      -2.396       0.000
   10.225      -2.390       0.000
   10.231      -2.382       0.000
   10.235      -2.372       0.000
   10.236      -2.362       0.000
   10.236      -1.850       0.000
   10.238      -1.840       0.000
   10.241      -1.831       0.000
   10.248      -1.823       0.000
   10.256      -1.816       0.000
   10.265      -1.812       0.000
   10.276      -1.811       0.000
   10.807      -1.811       0.000
   10.817      -1.812       0.000
   10.827      -1.816       0.000
   10.835      -1.823       0.000
   10.841      -1.831       0.000
   10.845      -1.840       0.000
   10.846      -1.850       0.000
   10.846      -2.362       0.000
   10.848      -2.372       0.000
   10.852      -2.382       0.000
   10.858      -2.390       0.000
   10.866      -2.396       0.000
   10.876      -2.400       0.000
   10.886      -2.402       0.000
   11.205      -2.402       0.000
   11.215      -2.400       0.000
   11.224      -2.396       0.000
   11.233      -2.390       0.000
   11.239      -2.382       0.000
   11.243      -2.372       0.000
   11.244      -2.362       0.000
   11.244      -1.850       0.000
   11.245      -1.840       0.000
   11.249      -1.831       0.000
   11.256      -1.823       0.000
   11.264      -1.816       0.000
   11.273      -1.812       0.000
   11.283      -1.811       0.000
   11.815      -1.811       0.000
   11.825      -1.812       0.000
   11.835      -1.816       0.000
   11.843      -1.823       0.000
   11.849      -1.831       0.000
   11.853      -1.840       0.000
   11.854      -1.850       0.000
   11.854      -2.362       0.000
   11.856      -2.372       0.000
   11.860      -2.382       0.000
   11.866      -2.390       0.000
   11.874      -2.396       0.000
   11.884      -2.400       0.000
   11.894      -2.402       0.000
   12.094      -2.402       0.000
   12.105      -2.400       0.000
   12.114      -2.396       0.000
   12.122      -2.390       0.000
   12.129      -2.382       0.000
   12.133      -2.372       0.000
   12.134      -2.362       0.000
   12.134      -1.850       0.000
   12.135      -1.840       0.000
   12.139      -1.831       0.000
   12.145      -1.823       0.000
   12.154      -1.816       0.000
   12.163      -1.812       0.000
   12.173      -1.811       0.000
   12.705      -1.811       0.000
   12.715      -1.812       0.000
   12.724      -1.816       0.000
   12.733      -1.823       0.000
   12.739      -1.831       0.000
   12.743      -1.840       0.000
   12.744      -1.850       0.000
   12.744      -2.362       0.000
   12.745      -2.372       0.000
   12.749      -2.382       0.000
   12.756      -2.390       0.000
   12.764      -2.396       0.000
   12.773      -2.400       0.000
   12.783      -2.402       0.000
   13.102      -2.402       0.000
   13.113      -2.400       0.000
   13.122      -2.396       0.000
   13.130      -2.390       0.000
   13.136      -2.382       0.000
   13.140      -2.372       0.000
   13.142      -2.362       0.000
   13.142      -1.850       0.000
   13.143      -1.840       0.000
   13.147      -1.831       0.000
   13.153      -1.823       0.000
   13.161      -1.816       0.000
   13.171      -1.812       0.000
   13.181      -1.811       0.000
   13.713      -1.811       0.000
   13.723      -1.812       0.000
   13.732      -1.816       0.000
   13.740      -1.823       0.000
   13.747      -1.831       0.000
   13.751      -1.840       0.000
   13.752      -1.850       0.000
   13.752      -2.362       0.000
   13.753      -2.372       0.000
   13.757      -2.382       0.000
   13.764      -2.390       0.000
   13.772      -2.396       0.000
   13.781      -2.400       0.000
   13.791      -2.402       0.000
   13.992      -2.402       0.000
   14.002      -2.400       0.000
   14.012      -2.396       0.000
   14.020      -2.390       0.000
   14.026      -2.382       0.000
   14.030      -2.372       0.000
   14.031      -2.362       0.000
   14.031      -1.850       0.000
   14.033      -1.840       0.000
   14.037      -1.831       0.000
   14.043      -1.823       0.000
   14.051      -1.816       0.000
   14.061      -1.812       0.000
   14.071      -1.811       0.000
   14.602      -1.811       0.000
   14.613      -1.812       0.000
   14.622      -1.816       0.000
   14.630      -1.823       0.000
   14.636      -1.831       0.000
   14.640      -1.840       0.000
   14.642      -1.850       0.000
